,subgroup_variable,subgroup,n,diabetes_cases,non_diabetes_cases,true_positive,false_negative,false_positive,true_negative,recall,false_negative_rate,false_positive_rate,precision
0,RIAGENDR,1.0,893,196,697,157,39,241,456,0.801,0.199,0.3458,0.3945
1,RIAGENDR,2.0,954,168,786,136,32,250,536,0.8095,0.1905,0.3181,0.3523
2,RIDRETH3,1.0,210,50,160,39,11,50,110,0.78,0.22,0.3125,0.4382
3,RIDRETH3,2.0,179,43,136,37,6,52,84,0.8605,0.1395,0.3824,0.4157
4,RIDRETH3,3.0,679,113,566,93,20,196,370,0.823,0.177,0.3463,0.3218
5,RIDRETH3,4.0,466,98,368,82,16,139,229,0.8367,0.1633,0.3777,0.371
6,RIDRETH3,6.0,217,46,171,30,16,33,138,0.6522,0.3478,0.193,0.4762
7,RIDRETH3,7.0,96,14,82,12,2,21,61,0.8571,0.1429,0.2561,0.3636
8,DMDEDUC2,1.0,157,52,105,45,7,62,43,0.8654,0.1346,0.5905,0.4206
9,DMDEDUC2,2.0,206,49,157,42,7,56,101,0.8571,0.1429,0.3567,0.4286
10,DMDEDUC2,3.0,428,87,341,75,12,122,219,0.8621,0.1379,0.3578,0.3807
11,DMDEDUC2,4.0,595,97,498,75,22,152,346,0.7732,0.2268,0.3052,0.3304
12,DMDEDUC2,5.0,460,79,381,56,23,98,283,0.7089,0.2911,0.2572,0.3636
13,DMDEDUC2,,1,0,1,0,0,1,0,,,1.0,0.0
