,precision,recall,f1-score,support
0,0.9332079021636877,0.6689143627781524,0.779261586802828,1483.0
1,0.3737244897959184,0.804945054945055,0.5104529616724739,364.0
accuracy,0.6957227937195453,0.6957227937195453,0.6957227937195453,0.6957227937195453
macro avg,0.653466195979803,0.7369297088616037,0.6448572742376509,1847.0
weighted avg,0.8229469589574786,0.6957227937195453,0.726285766798795,1847.0
