model,test_type,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,recall_mean,recall_std,precision_mean,precision_std,f1_mean,f1_std
Dummy Classifier,shuffled_target,0.8028,0.0003,0.5,0.0,0.5,0.0,0.1972,0.0003,0.0,0.0,0.0,0.0,0.0,0.0
Logistic Regression,shuffled_target,0.5066,0.0101,0.4992,0.009,0.504,0.0151,0.1997,0.0081,0.487,0.0333,0.1965,0.0058,0.2798,0.0109
Decision Tree,shuffled_target,0.445,0.0543,0.5098,0.0179,0.5041,0.0221,0.2012,0.0081,0.6168,0.126,0.2008,0.0105,0.3011,0.0293
