model,model_group,tuning_type,best_params,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,recall_mean,recall_std,precision_mean,precision_std,f1_mean,f1_std
Regularized Logistic Regression,advanced_model,RandomizedSearchCV_refit_recall,"{'model__penalty': 'elasticnet', 'model__l1_ratio': 0.7, 'model__C': 0.1}",0.7159,0.0041,0.7319,0.0071,0.8058,0.0085,0.4795,0.0091,0.7582,0.0144,0.3874,0.0054,0.5127,0.0075
Random Forest,advanced_model,RandomizedSearchCV_refit_recall,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 3, 'model__max_features': 'sqrt', 'model__max_depth': 5}",0.6896,0.0072,0.7212,0.0124,0.7941,0.011,0.468,0.0204,0.7733,0.026,0.3646,0.0086,0.4955,0.0124
Gradient Boosting,advanced_model,RandomizedSearchCV_refit_recall,"{'model__subsample': 0.8, 'model__n_estimators': 100, 'model__min_samples_leaf': 10, 'model__max_depth': 4, 'model__learning_rate': 0.1}",0.81,0.0071,0.6027,0.0117,0.7982,0.0069,0.4698,0.0219,0.2603,0.0209,0.5377,0.0361,0.3506,0.0255
XGBoost,advanced_model,RandomizedSearchCV_refit_recall,"{'model__subsample': 0.8, 'model__reg_lambda': 1, 'model__n_estimators': 100, 'model__min_child_weight': 3, 'model__max_depth': 3, 'model__learning_rate': 0.03, 'model__gamma': 0, 'model__colsample_bytree': 0.7}",0.6914,0.0087,0.7306,0.0105,0.7993,0.0095,0.4759,0.0119,0.7953,0.0173,0.369,0.0092,0.5041,0.0114
