model,model_group,tuning_type,recall_mean,pr_auc_mean,roc_auc_mean,balanced_accuracy_mean,f1_mean,precision_mean,accuracy_mean
XGBoost,advanced_model,RandomizedSearchCV_refit_recall,0.7953,0.4759,0.7993,0.7306,0.5041,0.369,0.6914
Random Forest,advanced_model,RandomizedSearchCV_refit_recall,0.7733,0.468,0.7941,0.7212,0.4955,0.3646,0.6896
Regularized Logistic Regression,advanced_model,RandomizedSearchCV_refit_recall,0.7582,0.4795,0.8058,0.7319,0.5127,0.3874,0.7159
Decision Tree,simple_baseline,not_tuned,0.7555,0.4007,0.7635,0.7028,0.4752,0.3471,0.6708
Logistic Regression,simple_baseline,not_tuned,0.752,0.48,0.8054,0.73,0.5114,0.3875,0.7167
Gradient Boosting,advanced_model,RandomizedSearchCV_refit_recall,0.2603,0.4698,0.7982,0.6027,0.3506,0.5377,0.81
Dummy Classifier,simple_baseline,not_tuned,0.0,0.1972,0.5,0.5,0.0,0.0,0.8028
