threshold,recall,precision,f1,balanced_accuracy
0.1,0.989,0.2237,0.3649,0.5732
0.11,0.9876,0.2294,0.3723,0.5865
0.12,0.9849,0.2334,0.3773,0.5952
0.13,0.9842,0.2373,0.3824,0.6037
0.14,0.9828,0.2414,0.3876,0.6122
0.15,0.9808,0.2449,0.3919,0.619
0.16,0.9766,0.248,0.3955,0.6246
0.17,0.9746,0.2516,0.3999,0.6313
0.18,0.9739,0.2552,0.4044,0.638
0.19,0.9725,0.2586,0.4086,0.644
0.2,0.9712,0.2619,0.4125,0.6495
0.21,0.9684,0.265,0.4161,0.6544
0.22,0.967,0.2679,0.4195,0.659
0.23,0.9636,0.2713,0.4234,0.664
0.24,0.9602,0.2738,0.4262,0.6675
0.25,0.9574,0.2769,0.4295,0.6717
0.26,0.9547,0.279,0.4318,0.6744
0.27,0.9533,0.2821,0.4354,0.6788
0.28,0.9492,0.2845,0.4378,0.6815
0.29,0.9464,0.287,0.4405,0.6845
0.3,0.9437,0.2898,0.4434,0.6879
0.31,0.9382,0.2916,0.4449,0.6892
0.32,0.932,0.294,0.447,0.6912
0.33,0.9251,0.2964,0.449,0.693
0.34,0.9203,0.2996,0.452,0.696
0.35,0.9135,0.3028,0.4549,0.6985
0.36,0.9066,0.3061,0.4577,0.701
0.37,0.9018,0.3098,0.4612,0.7042
0.38,0.8949,0.3148,0.4658,0.7083
0.39,0.8887,0.3185,0.4689,0.7109
0.4,0.8826,0.3225,0.4724,0.7137
0.41,0.8716,0.3264,0.4749,0.7149
0.42,0.8613,0.3305,0.4777,0.7164
0.43,0.8551,0.3348,0.4812,0.7189
0.44,0.8468,0.34,0.4851,0.7215
0.45,0.84,0.3442,0.4883,0.7235
0.46,0.8283,0.3479,0.4899,0.7235
0.47,0.8201,0.3534,0.4939,0.7258
0.48,0.8159,0.36,0.4996,0.7299
0.49,0.8056,0.3641,0.5015,0.73
0.5,0.7953,0.3689,0.504,0.7306
0.51,0.7734,0.37,0.5006,0.725
0.52,0.763,0.3764,0.5041,0.7263
0.53,0.7534,0.3846,0.5093,0.7287
0.54,0.737,0.3872,0.5077,0.7253
0.55,0.7184,0.3928,0.5079,0.7228
0.56,0.706,0.4005,0.5111,0.7232
0.57,0.6896,0.4078,0.5125,0.7218
0.58,0.671,0.4161,0.5137,0.7199
0.59,0.6504,0.4201,0.5105,0.715
0.6,0.6284,0.4258,0.5076,0.7102
0.61,0.6065,0.4358,0.5072,0.7068
0.62,0.5817,0.4416,0.5021,0.7005
0.63,0.5646,0.4541,0.5034,0.699
0.64,0.5398,0.4594,0.4964,0.6919
0.65,0.5103,0.4615,0.4847,0.682
0.66,0.4849,0.4639,0.4741,0.6736
0.67,0.4609,0.4749,0.4678,0.6679
0.68,0.4327,0.4813,0.4557,0.6591
0.69,0.4045,0.4908,0.4435,0.6507
0.7,0.3791,0.5074,0.434,0.6444
0.71,0.3462,0.5122,0.4131,0.6326
0.72,0.3146,0.5181,0.3915,0.6214
0.73,0.2878,0.527,0.3723,0.6122
0.74,0.2569,0.542,0.3486,0.6018
0.75,0.2294,0.5521,0.3241,0.5918
0.76,0.2019,0.5665,0.2977,0.582
0.77,0.171,0.5914,0.2653,0.571
0.78,0.1277,0.6019,0.2108,0.5535
0.79,0.0865,0.6238,0.152,0.5369
0.8,0.0549,0.6504,0.1013,0.5238
0.81,0.0357,0.7429,0.0682,0.5163
0.82,0.0199,0.7838,0.0388,0.5093
0.83,0.0055,0.8,0.0109,0.5026
0.84,0.0021,1.0,0.0041,0.501
0.85,0.0007,1.0,0.0014,0.5003
0.86,0.0007,1.0,0.0014,0.5003
0.87,0.0,0.0,0.0,0.5
0.88,0.0,0.0,0.0,0.5
0.89,0.0,0.0,0.0,0.5
0.9,0.0,0.0,0.0,0.5
