feature,importance
age_bmi,0.12986381
BPQ020_2.0,0.07993535
age_waist,0.07745148
BPQ020_1.0,0.074841894
RIDAGEYR,0.07317419
BPQ080_1.0,0.02971378
BPQ080_2.0,0.02891956
BMXWAIST,0.026705265
PAQ650_2.0,0.025856605
ALQ121_3.0,0.023740856
PAQ650_1.0,0.02245972
RIDRETH3_3.0,0.022132063
RIDRETH3_6.0,0.019247163
DMDEDUC2_1.0,0.017517744
pulse_pressure,0.016415263
ALQ121_6.0,0.015889125
RIAGENDR_1.0,0.014601501
PAQ665_1.0,0.014409689
BMXBMI,0.014388149
ALQ121_0.0,0.014083062
RIDRETH3_1.0,0.0137281
SMQ020_1.0,0.013687702
INDFMPIR,0.013217796
ALQ121_1.0,0.01262722
metabolic_risk_score,0.0125492085
DBQ700_2.0,0.011735895
avg_diastolic_bp,0.011614275
PAD680,0.01094474
ALQ130,0.010907652
ALQ111_2.0,0.010736755
physically_active_0.0,0.010649468
bmi_category_overweight,0.010134137
age_systolic_bp,0.00959506
DBD895,0.008991876
DBD910,0.008970585
DBD905,0.00876361
DMDEDUC2_5.0,0.008759172
DMDEDUC2_2.0,0.008677004
DMDEDUC2_3.0,0.008671963
high_bp_exam_0.0,0.0082185855
ALQ121_5.0,0.008200238
avg_systolic_bp,0.008140759
high_bp_exam_1.0,0.0074142683
bmi_category_obese,0.0073351716
DBQ700_5.0,0.0072929123
ALQ121_9.0,0.007089613
high_waist_1.0,0.0
fair_poor_diet_0.0,0.0
bmi_category_underweight,0.0
ever_regular_alcohol_0.0,0.0
ever_regular_alcohol_1.0,0.0
obese_1.0,0.0
frequent_fast_food_0.0,0.0
obese_0.0,0.0
fair_poor_diet_1.0,0.0
frequent_fast_food_1.0,0.0
smoking_history_0.0,0.0
high_waist_0.0,0.0
physically_active_1.0,0.0
ALQ121_4.0,0.0
bmi_category_normal,0.0
SMQ020_2.0,0.0
DBD900,0.0
DBQ700_1.0,0.0
ALQ121_10.0,0.0
DBQ700_3.0,0.0
DBQ700_4.0,0.0
DMDEDUC2_4.0,0.0
ALQ121_8.0,0.0
PAQ665_2.0,0.0
ALQ121_7.0,0.0
RIAGENDR_2.0,0.0
ALQ111_1.0,0.0
RIDRETH3_2.0,0.0
RIDRETH3_4.0,0.0
RIDRETH3_7.0,0.0
ALQ121_2.0,0.0
smoking_history_1.0,0.0
