feature,mean_abs_shap_value
age_bmi,0.40525973
RIDAGEYR,0.24626797
BMXWAIST,0.18917234
BPQ020_1.0,0.18283042
age_waist,0.12801783
RIDRETH3_3.0,0.10084819
BPQ080_1.0,0.07048674
BPQ020_2.0,0.060160246
PAQ650_1.0,0.057420272
pulse_pressure,0.04048683
INDFMPIR,0.02885641
BMXBMI,0.027465211
BPQ080_2.0,0.025432793
DMDEDUC2_1.0,0.024364304
PAD680,0.021370264
PAQ650_2.0,0.019088848
avg_diastolic_bp,0.015378943
metabolic_risk_score,0.011518493
RIDRETH3_6.0,0.0107120015
RIDRETH3_1.0,0.009801013
avg_systolic_bp,0.006876486
age_systolic_bp,0.0067472057
DBQ700_2.0,0.006022827
ALQ121_3.0,0.0058668014
physically_active_0.0,0.0055568814
PAQ665_1.0,0.004629348
DMDEDUC2_5.0,0.0037041309
ALQ121_0.0,0.0036346249
ALQ121_6.0,0.003559779
high_bp_exam_0.0,0.0024368083
DBD895,0.0023354716
DBD910,0.0022706576
RIAGENDR_1.0,0.0022145296
DBD905,0.0020691862
high_bp_exam_1.0,0.002021507
DBQ700_5.0,0.0016652669
SMQ020_1.0,0.0014587252
DMDEDUC2_2.0,0.0011087985
DMDEDUC2_3.0,0.0009537154
ALQ130,0.000948421
bmi_category_obese,0.0009159928
ALQ121_1.0,0.0008955828
ALQ111_2.0,0.00074022077
ALQ121_9.0,0.0006593229
ALQ121_5.0,0.0005546317
bmi_category_overweight,0.0005073465
smoking_history_0.0,0.0
high_waist_0.0,0.0
obese_1.0,0.0
ALQ111_1.0,0.0
frequent_fast_food_1.0,0.0
high_waist_1.0,0.0
frequent_fast_food_0.0,0.0
fair_poor_diet_1.0,0.0
fair_poor_diet_0.0,0.0
ever_regular_alcohol_1.0,0.0
physically_active_1.0,0.0
ever_regular_alcohol_0.0,0.0
bmi_category_underweight,0.0
obese_0.0,0.0
ALQ121_7.0,0.0
bmi_category_normal,0.0
ALQ121_4.0,0.0
ALQ121_10.0,0.0
DBD900,0.0
DBQ700_1.0,0.0
DBQ700_3.0,0.0
DBQ700_4.0,0.0
DMDEDUC2_4.0,0.0
ALQ121_2.0,0.0
SMQ020_2.0,0.0
PAQ665_2.0,0.0
RIAGENDR_2.0,0.0
RIDRETH3_2.0,0.0
ALQ121_8.0,0.0
RIDRETH3_4.0,0.0
RIDRETH3_7.0,0.0
smoking_history_1.0,0.0
